id,kda_ratio
3_53,2602.26220703125
4_17,3330.316650390625
9_51,2876.5927734375
10_54,4406.998046875
15_74,4619.818359375
19_38,3147.1416015625
21_93,3608.852294921875
31_80,3617.948974609375
34_62,2586.7890625
35_74,3300.580322265625
46_14,2571.09033203125
51_106,5327.54345703125
64_7,3299.57470703125
66_56,4242.119140625
72_26,2150.858642578125
73_17,4165.22021484375
74_86,2231.341064453125
77_14,2448.449951171875
83_86,2507.569580078125
85_13,3208.923828125
89_114,2976.053955078125
100_107,3730.191650390625
101_26,2136.80322265625
102_86,2434.119140625
103_97,3473.707763671875
105_109,4018.17431640625
107_104,2800.3125
110_55,4173.20166015625
111_46,3112.233154296875
112_70,3328.662841796875
115_99,3205.5390625
117_86,2326.49560546875
119_34,3722.257080078125
120_97,2798.303466796875
121_13,4572.60400390625
123_59,3221.188720703125
124_46,3357.34814453125
125_1,3963.96142578125
127_62,3651.04736328125
132_13,3463.75048828125
134_23,3306.10009765625
135_69,3438.965087890625
140_95,3276.926025390625
141_69,3255.45166015625
142_86,2706.50341796875
156_73,3311.584228515625
162_74,2470.1044921875
165_11,4155.708984375
167_17,3088.14306640625
169_93,4869.888671875
170_3,2359.16748046875
171_4,3667.103271484375
173_97,3704.779052734375
175_7,2859.049560546875
177_43,3261.91796875
179_17,4459.15869140625
182_69,3190.249267578125
185_93,3300.9560546875
188_13,4695.10595703125
191_17,4351.79248046875
192_8,3546.54638671875
193_39,4082.52490234375
195_74,4694.83984375
201_26,2279.865966796875
210_81,3252.63671875
215_25,2150.930419921875
224_113,3022.270751953125
227_12,2930.265869140625
230_77,4775.1923828125
234_10,5132.35791015625
236_7,2624.991943359375
240_74,3198.568359375
242_74,2740.471435546875
244_19,2583.897216796875
245_54,3897.204833984375
251_47,3827.475341796875
252_74,3417.4150390625
253_17,3299.67578125
255_34,3362.699951171875
265_9,3780.7490234375
266_74,3403.539306640625
268_41,3693.877197265625
269_97,2833.347412109375
271_86,2660.49365234375
272_74,3468.39208984375
275_27,2691.09375
283_63,4436.48486328125
284_41,5784.0546875
286_9,4645.9287109375
287_53,2353.949462890625
293_23,3461.76318359375
294_1,3442.06298828125
308_26,2415.101318359375
311_109,3830.3310546875
313_106,5137.7021484375
316_88,2650.172119140625
319_42,5020.06201171875
321_67,5566.72607421875
322_97,2999.553955078125
325_17,3649.568359375
330_25,2855.08544921875
331_62,2323.547607421875
334_35,3598.3095703125
339_28,2524.1640625
342_78,3957.261474609375
347_106,3843.56884765625
350_86,2381.870361328125
351_51,3200.94482421875
353_86,2688.235595703125
355_36,3619.591064453125
356_98,2605.64794921875
357_57,2367.28759765625
360_114,3171.864013671875
363_34,3413.978271484375
366_7,2622.33251953125
369_11,4234.07666015625
374_107,3151.396484375
379_46,2761.472412109375
387_17,3358.22802734375
391_56,3354.045654296875
392_27,1954.1043701171875
393_100,3477.678955078125
397_107,3057.954833984375
398_46,3355.80419921875
399_14,2753.58544921875
401_8,3111.924560546875
407_74,2913.6416015625
411_34,3914.689208984375
412_2,2119.449462890625
417_73,3446.169677734375
422_120,3269.682373046875
423_25,3589.256103515625
425_86,2378.293701171875
426_106,3782.434814453125
430_46,3521.574462890625
431_86,2606.1982421875
435_60,2787.26123046875
436_59,2411.728515625
438_86,2677.62890625
440_75,2172.1982421875
445_1,3865.6005859375
447_86,2373.6474609375
448_93,4442.16943359375
449_25,3045.237548828125
453_86,2449.789794921875
454_114,2982.923583984375
461_39,5746.22802734375
463_80,2575.1025390625
464_46,3669.64599609375
465_76,4292.01904296875
471_109,4269.861328125
472_10,3189.822021484375
475_19,2569.127685546875
480_75,2487.58056640625
485_95,3601.323486328125
486_41,4485.37646484375
489_9,3352.151123046875
493_8,3264.011474609375
494_87,2903.233642578125
495_7,2651.134521484375
496_35,3198.177001953125
497_11,4246.771484375
501_65,3831.05908203125
502_71,2445.977294921875
507_86,2134.61572265625
508_6,2890.085205078125
511_82,2499.6865234375
521_14,2492.926513671875
523_23,2919.1669921875
525_10,4472.8154296875
527_76,3715.129150390625
528_98,3514.77734375
532_18,3989.7373046875
533_82,2472.732421875
536_92,2829.07763671875
539_69,2939.603515625
542_34,4584.1318359375
549_1,3035.243896484375
553_9,3128.541748046875
555_11,4241.998046875
560_59,2969.572021484375
561_107,3621.778564453125
566_8,3011.68310546875
579_95,2598.87646484375
586_88,3414.506591796875
588_14,2693.536376953125
593_111,2293.60693359375
595_98,3975.15576171875
612_17,3462.31103515625
613_30,2435.91650390625
616_59,2355.743408203125
621_86,2709.265869140625
626_65,2835.619384765625
630_93,2806.73193359375
633_14,2148.887451171875
634_34,3786.694580078125
638_61,3521.8876953125
639_11,4244.49462890625
645_82,2517.35302734375
647_79,2130.53955078125
654_39,4061.45703125
655_74,3194.817138671875
657_28,2711.03271484375
669_44,3888.373291015625
670_41,3578.39501953125
671_93,3180.31640625
676_34,3016.294677734375
677_7,2999.385498046875
678_111,2890.7421875
680_93,3606.8125
687_25,2295.639404296875
689_8,3169.44873046875
691_33,2848.00927734375
693_21,3242.584716796875
696_33,2995.4111328125
708_104,2023.0478515625
709_86,2449.944580078125
711_40,2729.1015625
716_6,3174.73095703125
718_26,1784.4322509765625
726_11,3541.5732421875
728_39,3666.998291015625
729_102,3319.4365234375
734_17,2943.233642578125
736_74,3372.3916015625
737_86,2691.316162109375
744_12,3624.531494140625
749_88,2605.576171875
754_93,3986.04052734375
755_36,3082.403564453125
757_11,4208.52587890625
761_120,3477.701171875
762_9,3690.6171875
766_39,6381.57568359375
771_7,2527.3544921875
772_36,3046.9638671875
779_13,3322.600830078125
780_106,3614.18212890625
781_70,3625.110107421875
782_55,3226.8310546875
802_31,2290.462646484375
803_74,2707.447509765625
805_93,4025.7451171875
806_106,4038.88623046875
811_63,3107.593017578125
812_73,3443.690673828125
815_13,3327.08056640625
820_7,2607.972412109375
830_29,3117.912109375
834_11,4047.58203125
836_93,3926.9853515625
837_9,3465.603759765625
839_44,4928.9033203125
841_107,2837.5283203125
844_86,2537.1455078125
849_36,2638.506591796875
850_82,3132.83837890625
854_76,3682.217041015625
864_5,1805.4835205078125
872_13,3573.493896484375
875_6,2817.008544921875
877_74,2481.5869140625
878_71,3053.557861328125
884_53,2427.78857421875
889_97,2729.74462890625
891_69,2570.222412109375
892_75,2957.982421875
893_7,2791.648681640625
895_70,4632.640625
897_54,3788.296875
899_10,4066.830322265625
908_88,2655.51025390625
910_74,3250.996337890625
913_14,2784.095947265625
916_8,3143.52001953125
917_10,4160.3857421875
918_35,3048.982421875
922_69,2539.65478515625
925_106,3816.922119140625
926_101,4344.09765625
931_18,4108.068359375
932_57,2090.257568359375
934_57,2854.452880859375
942_17,3382.22998046875
946_97,2590.68603515625
952_93,2881.35693359375
955_10,4001.406494140625
958_62,3332.6640625
961_87,2153.851806640625
962_39,4013.6982421875
965_26,2149.62646484375
966_69,3052.84033203125
969_74,3109.453125
985_86,2580.475830078125
996_8,3764.644287109375
1008_74,3361.300048828125
1017_37,2623.044189453125
1018_62,3042.25927734375
1023_74,3146.949951171875
1030_69,3641.884765625
1031_95,3721.348388671875
1033_51,3148.0546875
1034_75,3098.846435546875
1037_76,3428.5263671875
1038_74,3879.487548828125
1040_71,2965.42431640625
1042_17,3283.647705078125
1045_17,3665.486328125
1050_34,3091.32373046875
1059_11,4332.40478515625
1066_70,3003.872314453125
1067_14,2472.939697265625
1072_71,2556.2041015625
1076_34,4496.4091796875
1077_31,2483.189453125
1080_5,1843.2305908203125
1082_16,3107.668212890625
1085_93,3937.573974609375
1086_88,2187.092041015625
1088_17,3858.5947265625
1092_76,4332.86328125
1094_61,3144.69677734375
1095_77,4954.841796875
1106_110,3433.0791015625
1110_17,3862.67578125
1112_101,3358.42236328125
1113_21,2413.506103515625
1114_74,3284.73193359375
1115_9,4361.76220703125
1116_51,2820.924072265625
1117_95,3136.5546875
1119_47,3654.526123046875
1120_114,2728.03369140625
1124_22,3925.04150390625
1126_41,3367.78271484375
1127_18,3534.34521484375
1131_46,5611.013671875
1133_90,2102.59521484375
1140_74,3181.695556640625
1141_39,3574.63916015625
1143_104,2687.26318359375
1147_88,2677.492431640625
1155_64,2008.4678955078125
1157_90,2067.707275390625
1160_45,2333.719482421875
1162_57,2206.767578125
1163_42,2808.98388671875
1168_31,2701.5546875
1172_86,2128.429931640625
1175_9,3627.071044921875
1178_32,3308.70556640625
1181_53,2253.16552734375
1184_67,3721.426513671875
1185_48,3550.287353515625
1187_104,2470.189453125
1197_71,2795.0908203125
1200_62,2812.333740234375
1206_9,3133.973388671875
1211_2,3015.697021484375
1212_82,2805.6044921875
1216_88,2408.069580078125
1217_28,2483.03857421875
1222_51,2871.468017578125
1223_38,2788.10693359375
1228_7,2652.908203125
1234_25,2800.035400390625
1240_14,2596.0
1241_26,2184.9462890625
1242_80,3324.551513671875
1245_41,2827.48046875
1253_74,3343.419921875
1264_74,2652.695556640625
1271_23,2971.928955078125
1276_88,2353.13232421875
1280_47,2883.21142578125
1284_32,3207.879638671875
1287_32,2723.698486328125
1288_14,2160.427490234375
1290_14,2166.53564453125
1293_41,3756.652587890625
1298_97,2988.3427734375
1300_92,3497.7822265625
1302_14,2799.17041015625
1304_34,4622.72509765625
1306_41,3061.55322265625
1310_74,4773.17724609375
1312_60,3601.005859375
1324_74,4516.279296875
1329_74,3078.35791015625
1331_107,2747.93212890625
1335_10,4361.814453125
1338_2,2690.4658203125
1340_69,3691.23388671875
1345_104,2724.301513671875
1347_1,2997.411376953125
1350_14,2370.281494140625
1352_34,2788.177001953125
1361_64,3143.1083984375
1365_72,2554.394775390625
1369_35,3654.514892578125
1383_9,2669.43017578125
1385_34,3952.882568359375
1398_30,2138.577392578125
1399_21,3510.813232421875
1400_93,3494.430419921875
1408_87,2445.506103515625
1409_7,2696.068115234375
1414_42,4022.819580078125
1415_14,2356.8447265625
1416_106,3343.48681640625
1423_63,4474.03564453125
1427_25,2909.390869140625
1428_33,2995.813720703125
1430_79,3519.802001953125
1431_1,2689.48046875
1433_11,4076.036376953125
1436_20,1917.2706298828125
1440_81,3308.0205078125
1441_13,3106.00390625
1443_55,2981.020751953125
1447_16,3311.086669921875
1453_44,4517.87060546875
1454_21,2505.327392578125
1455_120,3050.075439453125
1456_7,2636.34521484375
1457_70,2992.6865234375
1461_9,2889.562744140625
1463_29,2447.70849609375
1465_8,2781.039794921875
1467_7,3185.829345703125
1473_97,3187.443359375
1475_71,2194.640625
1476_44,3366.590087890625
1482_25,2682.91796875
1483_83,2066.742919921875
1485_4,3165.798828125
1486_1,4385.6982421875
1488_32,2925.85498046875
1494_34,3765.2099609375
1495_88,2531.330322265625
1496_73,2684.849365234375
1498_93,3395.544677734375
1499_74,2980.3544921875
1503_87,2011.8447265625
1505_34,3134.694091796875
1519_18,2636.8701171875
1521_18,3589.746337890625
1524_45,2872.856689453125
1526_1,3742.2275390625
1530_90,2638.872314453125
1534_76,3020.459228515625
1540_65,3207.5439453125
1546_1,2970.98291015625
1549_42,3175.294677734375
1553_1,3111.68701171875
1558_70,3687.385498046875
1559_62,2680.193603515625
1563_34,3104.90380859375
1568_30,2075.203125
1569_93,3390.987060546875
1570_23,3132.984619140625
1574_26,2006.1331787109375
1575_95,3020.69775390625
1577_1,4020.4501953125
1578_53,2792.732177734375
1583_86,2076.506591796875
1584_86,2363.21142578125
1594_114,3922.496337890625
1596_104,2265.99951171875
1598_28,2430.864501953125
1599_74,3243.58154296875
1601_54,4357.64111328125
1604_105,2331.427978515625
1605_110,2357.6328125
1607_11,3946.18505859375
1609_30,2181.944580078125
1611_8,3182.183837890625
1619_11,4020.797119140625
1624_32,2861.2744140625
1629_51,2557.20703125
1631_99,2609.382080078125
1633_102,2613.44091796875
1635_52,3467.592041015625
1637_5,2424.92529296875
1638_93,3866.278076171875
1642_17,4042.158203125
1644_76,3066.591064453125
1646_73,3530.76123046875
1648_39,3574.8466796875
1649_98,2864.707763671875
1650_18,3549.96142578125
1651_8,3996.723388671875
1658_11,3890.59619140625
1667_11,3786.95849609375
1669_65,3017.57470703125
1670_14,2772.49755859375
1672_106,3974.843505859375
1675_33,2767.105224609375
1676_9,4158.44873046875
1680_10,5231.8212890625
1686_13,4493.73583984375
1688_74,3308.3740234375
1690_34,3907.563232421875
1693_8,4634.63232421875
1695_74,5574.59130859375
1696_107,2721.9658203125
1701_14,2148.743408203125
1706_93,3523.589599609375
1708_15,4966.60791015625
1709_106,3834.909912109375
1712_17,4318.76025390625
1719_71,2773.6201171875
1720_13,4103.6259765625
1725_17,3541.640869140625
1737_51,3953.64501953125
1742_12,5010.7119140625
1743_7,2923.1201171875
1744_30,1986.3939208984375
1751_53,3373.138427734375
1760_74,2834.698486328125
1766_17,4310.89990234375
1769_112,2629.977294921875
1770_76,3688.802734375
1771_14,2817.734375
1776_114,4190.49267578125
1780_14,2413.92041015625
1782_9,2855.761962890625
1788_104,2725.506591796875
1789_11,4272.9951171875
1790_62,3140.209716796875
1795_56,3684.921142578125
1796_93,3359.55615234375
1802_34,3493.427001953125
1811_93,3588.6181640625
1812_53,2788.839111328125
1818_97,3180.08837890625
1824_65,3704.146484375
1825_46,3707.79052734375
1828_11,4068.64111328125
1831_46,5719.0693359375
1833_93,3416.266845703125
1835_1,3628.696533203125
1841_98,3568.492919921875
1847_34,4265.2841796875
1848_39,3174.7490234375
1854_33,3120.33935546875
1855_70,3410.251708984375
1857_74,2663.79052734375
1863_97,3498.815673828125
1872_34,4724.97216796875
1874_21,3358.996826171875
1875_12,5335.08056640625
1880_11,4081.8427734375
