id,kda_ratio
3_53,2701.434519845312
4_17,3323.297009355992
9_51,2945.279170453938
10_54,4590.249619875455
15_74,4798.264885371391
19_38,3152.9273995356975
21_93,3709.3002310535835
31_80,3662.7368328414473
34_62,2721.6023259815906
35_74,3589.796833376659
46_14,2569.121888978716
51_106,5554.585582441152
64_7,3298.0462865621926
66_56,4303.311900584295
72_26,2216.0545718685808
73_17,4432.344777300492
74_86,2268.9597701409944
77_14,2519.078110056225
83_86,2519.9275234055244
85_13,3361.1043483021713
89_114,2956.6183009064
100_107,3783.4084659518385
101_26,2151.9320452202896
102_86,2509.9975736449574
103_97,3431.2547938327557
105_109,3989.412508502457
107_104,2971.4449881819633
110_55,4341.487266598904
111_46,3186.285169818694
112_70,3398.2376051600345
115_99,3368.274683354893
117_86,2358.356647323799
119_34,3809.566771179779
120_97,2839.8512696078087
121_13,4544.120860009641
123_59,3342.0825835723836
124_46,3414.011696532976
125_1,3926.144875944805
127_62,3650.6943216638715
132_13,3606.0959840195546
134_23,3358.7472987688507
135_69,3558.0528117324257
140_95,3483.2422908033495
141_69,3306.282303543343
142_86,2846.2660659008557
156_73,3427.110285912351
162_74,2577.3817187978257
165_11,3003.1927570759403
167_17,3194.5279583015326
169_93,5043.634764690164
170_3,2375.2924812511533
171_4,3800.541345379487
173_97,3672.2065242205604
175_7,2888.513170111128
177_43,3267.0736555553754
179_17,4763.340026591095
182_69,3205.466771696249
185_93,3398.62933091042
188_13,4887.055423335178
191_17,4515.825113542123
192_8,3555.0455069168306
193_39,4797.757665820621
195_74,4869.117431963347
201_26,2273.6309357018686
210_81,3449.242869032211
215_25,2279.435948635601
224_113,3061.103651030564
227_12,3045.99757190032
230_77,4666.913119797077
234_10,5333.139318596158
236_7,2862.8304827286365
240_74,3394.6943873362343
242_74,2789.6035713331808
244_19,2765.7745487225293
245_54,4027.8114134639804
251_47,3913.326543661554
252_74,3612.791618583097
253_17,3363.982366613313
255_34,3380.8736154214685
265_9,3854.489516698323
266_74,3740.089390430151
268_41,3712.027194181827
269_97,2913.4092618806785
271_86,2745.5384474972107
272_74,3585.3896619461852
275_27,2919.368826701599
283_63,4453.338903655914
284_41,5853.889589567485
286_9,4817.2848779254555
287_53,2394.1573852551196
293_23,3501.2775343622534
294_1,3481.8958601415475
308_26,2508.9287825077276
311_109,3778.0168039130303
313_106,5311.38776953177
316_88,2741.3873166366407
319_42,5632.223532327418
321_67,5790.050168113102
322_97,3040.4202291459014
325_17,3689.8020725580636
330_25,3088.931862878957
331_62,2413.8419855345583
334_35,3619.517390152741
339_28,2678.3469844025917
342_78,3823.7846274843496
347_106,4058.854378831967
350_86,2407.727176997383
351_51,3252.579178395264
353_86,2783.861129434463
355_36,3647.5077605437277
356_98,2616.4360779325825
357_57,2196.1381832667744
360_114,3278.0645977877284
363_34,3548.872481777368
366_7,2607.521138613425
369_11,3079.827903737375
374_107,3186.261689886772
379_46,2800.9398209000524
387_17,3352.9447806861003
391_56,3474.9235014163537
392_27,1974.1887726111995
393_100,3572.8416425124856
397_107,3136.6132007631068
398_46,3453.1971112532715
399_14,2713.0481749615246
401_8,3276.6351666800083
407_74,2941.624587357072
411_34,4006.343042501276
412_2,2082.6482780463693
417_73,3491.0366736484307
422_120,3357.1002919835646
423_25,3820.432235275274
425_86,2453.8939622999046
426_106,3947.4183925846405
430_46,3548.621547074307
431_86,2695.321959002707
435_60,2894.357270614192
436_59,2524.593845389066
438_86,2743.0902411290876
440_75,2199.3277198982128
445_1,4003.8544613667486
447_86,2397.455574243192
448_93,4689.765522519485
449_25,3153.666409482512
453_86,2476.4025939615162
454_114,2974.6962618011394
461_39,6029.198861728969
463_80,2630.332519479596
464_46,3753.947100638556
465_76,4369.479942297637
471_109,4298.84119165212
472_10,3387.7115239669165
475_19,2692.356197004023
480_75,2570.4367169301922
485_95,3601.055053443161
486_41,4321.393438545113
